university,program,module,description,skills,url,level,duration,entry_requirements
National University of Singapore (NUS),Computer Science,CS1010 Programming Methodology,"This module covers programming methodology, part of the Computer Science programme at National University of Singapore (NUS). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core programming methodology concepts, theoretical framework application, analytical problem-solving, academic research skills, practical programming methodology implementation",https://nusmods.com/modules/CS1010,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS1231 Discrete Structures,"This module covers discrete structures, part of the Computer Science programme at National University of Singapore (NUS). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core discrete structures concepts, theoretical framework application, analytical problem-solving, academic research skills, practical discrete structures implementation",https://nusmods.com/modules/CS1231,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,MA1521 Calculus for Computing,"Covers differential and integral calculus, series, and multivariable calculus for engineering and science applications.","Differentiation, integration, limit evaluation, partial derivatives, optimisation techniques",https://nusmods.com/modules/MA1521,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,MA1522 Linear Algebra for Computing,"Covers vector spaces, matrix operations, eigenvalues, and SVD foundational for machine learning and optimisation.","Matrix factorisation, eigenvalue computation, vector space analysis, linear transformation, gradient optimisation",https://nusmods.com/modules/MA1522,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,ST2334 Probability and Statistics,"Covers random variables, distributions, Bayes theorem, expectation, and limit theorems with engineering applications.","Probability modelling, Bayesian inference, Monte Carlo simulation, hypothesis testing, stochastic analysis",https://nusmods.com/modules/ST2334,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS2030S Programming Methodology II,"This module covers programming methodology ii, part of the Computer Science programme at National University of Singapore (NUS). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core programming methodology ii concepts, theoretical framework application, analytical problem-solving, academic research skills, practical programming methodology ii implementation",https://nusmods.com/modules/CS2030S,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS2040S Data Structures and Algorithms,"Covers fundamental data organisation techniques including arrays, linked lists, stacks, queues, trees, heaps, and hash tables. Students analyse time and space complexity and apply structures to solve real computational problems.","Array manipulation, linked list operations, binary tree traversal, hash table design, stack and queue implementation",https://nusmods.com/modules/CS2040S,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS2100 Computer Organisation,"This module covers computer organisation, part of the Computer Science programme at National University of Singapore (NUS). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core computer organisation concepts, theoretical framework application, analytical problem-solving, academic research skills, practical computer organisation implementation",https://nusmods.com/modules/CS2100,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS2102 Database Systems,"Examines relational database design, SQL querying, normalisation theory, transaction management, and indexing strategies.","SQL query writing, ER diagram design, normalisation, transaction management, index optimisation",https://nusmods.com/modules/CS2102,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
National University of Singapore (NUS),Computer Science,CS2103T Software Engineering,"Covers the full SDLC from requirements through design, implementation, testing, and maintenance, emphasising agile methods.","Requirements documentation, UML modelling, agile sprint planning, integration testing, Git version control",https://nusmods.com/modules/CS2103T,Undergraduate,4 Credits / 1 Semester,A-Level: H2 Mathematics. Polytechnic Diploma GPA ≥ 3.5. IELTS 6.0+.
