university_name,university_domain,program_name,course_id,course_name,description,credits,level,verified_url,skills
University of Cambridge,cam.ac.uk,Computer Science,Databases,Databases,"This course introduces basic concepts for database systems as
  seen from the perspective of application designers. That is, the
  focus is on the abstractions supported by database management
  systems and not on how those abstractions are implemented.
The database world is currently undergoing swift and dramatic
  transformations largely driven by Internet-oriented applications
  and services. Today many more options are available to database
  application developers than in the past and so it is becoming
  increasingly difficult to sort fact from fiction. The course
  attempts to cut through the fog with a practical approach that
  emphasises engineering tradeoffs that underpin these recent
  developments and also guide our selection of “the right tool for
  the job.”
This course covers three approaches. First, the traditional
  mainstay of the database industry -- the relational approach --
  is described with emphasis on eliminating logical redundancy in
  data. Then two representatives of recent trends are presented --
  graph-oriented and document-oriented databases. The lectures are
  supported with two Help and Tick sessions, where students gain
  hands-on experience and guidance with the Assessed Exercises
  (ticks).",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/Databases/,"Database Management Systems, Relational Databases, Graph-Oriented Databases, Document-Oriented Databases, Data Modeling, Logical Redundancy Elimination, Database Design, Engineering Tradeoffs"
University of Cambridge,cam.ac.uk,Computer Science,DigElec,Digital Electronics,"The aims of this course are to present the principles of
  combinational and sequential digital logic design and
  optimisation at a gate level. The use of n and p channel MOSFETs
  for building logic gates is also introduced.
Topics
Introduction.
Semiconductors to computers.
    Logic variables. Examples of simple logic. Logic gates. Boolean
    algebra. De Morgan’s theorem.
Logic minimisation.
Truth tables and
    normal forms. Karnaugh maps. Quine-McCluskey method.
Binary adders.
Half adder, full adder,
    ripple carry adder, fast carry generation.
Combinational logic design: further
    considerations.
Multilevel logic. Gate propagation
    delay. An introduction to timing diagrams. Hazards and hazard
    elimination. Other ways to implement combinational logic.
Introduction to practical classes.
Prototyping box. Breadboard and Dual in line (DIL) packages.
    Wiring.
Sequential logic.
Memory elements. RS
    latch. Transparent D latch. Master-slave D flip-flop. T and JK
    flip-flops. Setup and hold times.
Sequential logic.
Counters: Ripple and
    synchronous. Shift registers. System timing - setup time
    constraint, clock skew, metastability.
Synchronous State Machines.
Moore and
    Mealy finite state machines (FSMs). Reset and self starting.
    State transition diagrams. Elimination of redundant states -
    row matching and state equivalence/implication table.
Further state machines.
State assignment:
    sequential, sliding, shift register, one hot. Implementation of
    FSMs.
Introduction to microprocessors.
Microarchitecture, fetch, register access, memory access,
    branching, execution time.
Electronics, Devices and Circuits.
Current
    and voltage, conductors/insulators/semiconductors, resistance,
    basic circuit theory, the potential divider. Solving non-linear
    circuits. P-N junction (forward and reverse bias), N and p
    channel MOSFETs (operation and characteristics) and n-MOSFET
    logic, e.g., n-MOSFET inverter. Power consumption ",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/DigElec/,"Combinational Logic Design, Sequential Logic Design, Digital Logic Design, MOSFETs, Logic Gates, Boolean Algebra, De Morgan’s Theorem, Logic Minimisation, Truth Tables, Karnaugh Maps, Quine-McCluskey Method, Binary Adders, Half Adders, Full Adders, Ripple Carry Adders, Fast Carry Generation, Multilevel Logic, Gate Propagation Delay, Timing Diagrams, Hazard Elimination, Prototyping, Breadboarding, Dual In-line Packages, RS Latches, D Latches, Master-slave D Flip-flops, T Flip-flops, JK Flip-flops, Setup and Hold Times, Ripple Counters, Synchronous Counters, Shift Registers, Clock Skew, Metastability, Finite State Machines, Moore State Machines, Mealy State Machines, State Transition Diagrams, State Assignment, Microarchitecture, Circuit Theory, Potential Divider, Non-linear Circuit Analysis, P-N Junctions, Power Consumption Analysis"
University of Cambridge,cam.ac.uk,Computer Science,DiscMath,Discrete Mathematics,"The course aims to introduce the mathematics of discrete
  structures, showing it as an essential tool for computer science
  that can be clever and beautiful.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/DiscMath/,"Discrete Mathematics, Discrete Structures"
University of Cambridge,cam.ac.uk,Computer Science,FoundsCS,Foundations of Computer Science,"The main aim of this course is to present the basic principles
  of programming. As the introductory course of the Computer
  Science Tripos, it caters for students from all backgrounds. To
  those who have had no programming experience, it will be
  comprehensible; to those experienced in languages such as C, it
  will attempt to correct any bad habits that they have learnt.
A further aim is to introduce the principles of data
  structures and algorithms. The course will emphasise the
  algorithmic side of programming, focusing on problem-solving
  rather than on hardware-level bits and bytes. Accordingly it will
  present basic algorithms for sorting, searching, etc., and
  discuss their efficiency using
O
-notation. Worked
  examples (such as polynomial arithmetic) will demonstrate how
  algorithmic ideas can be used to build efficient
  applications.
The course will use a functional language (OCaml). OCaml is
  particularly appropriate for inexperienced programmers, since a
  faulty program cannot crash and OCaml’s unobtrusive type system
  captures many program faults before execution. The course will
  present the elements of functional programming, such as curried
  and higher-order functions. But it will also introduce
  traditional (procedural) programming, such as assignments, arrays
  and references.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/FoundsCS/,"OCaml, Functional programming, Curried functions, Higher-order functions, Procedural programming, Assignments, Arrays, References, Data structures, Algorithms, Sorting algorithms, Searching algorithms, Algorithmic analysis, Big O notation"
University of Cambridge,cam.ac.uk,Computer Science,Graphics,Introduction to Graphics,"To introduce the necessary background, the basic algorithms,
  and the applications of computer graphics and graphics
  hardware.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/Graphics/,"Computer Graphics, Graphics Hardware, Algorithms"
University of Cambridge,cam.ac.uk,Computer Science,OOProg,Object-Oriented Programming,"The goal of this course is to provide students with an
  understanding of Object-Oriented Programming. Concepts are
  demonstrated in multiple languages, but the primary language is
  Java.
Lecture syllabus
Types, Objects and Classes
Moving from
    functional to imperative. Functions, methods. Control flow.
    values, variables and types. Primitive Types. Classes as custom
    types. Objects vs Classes. Class definition, constructors.
    Static data and methods.
Designing Classes
Identifying classes. UML
    class diagrams. Modularity. Encapsulation/data hiding.
    Immutability. Access modifiers. Parameterised types
    (Generics).
Pointers, References and Memory
Pointers
    and references. Reference types in Java. The call stack. The
    heap. Iteration and recursion. Pass-by-value and
    pass-by-reference.
Inheritance
Inheritance. Casting.
    Shadowing. Overloading. Overriding. Abstract Methods and
    Classes.
Polymorphism and Multiple Inheritance
Polymorphism in ML and Java. Multiple inheritance. Interfaces
    in Java.
Lifecycle of an Object
Constructors and
    chaining. Destructors. Finalizers. Garbage Collection:
    reference counting, tracing.
Java Collections and Object Comparison
Java Collection interface. Key classes. Collections class.
    Iteration options and the use of Iterator. Comparing primitives
    and objects. Operator overloading.
Error Handling
Types of errors.
    Limitations of return values. Deferred error handling.
    Exceptions. Custom exceptions. Checked vs unchecked.
    Inappropriate use of exceptions. Assertions.
DesignLanguage evolution
Need for
    languages to evolve. Generics in Java. Type erasure.
    Introduction to Java 8: Lambda functions, functions as values,
    method references, streams.
Design Patterns
Introduction to design
    patterns. Open-closed principle. Examples of Singleton,
    Decorator, State, Composite, Strategy, Observer. [2
    lectures]",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/OOProg/,"Object-Oriented Programming, Java, UML class diagrams, Encapsulation, Immutability, Access modifiers, Generics, Pointers, References, Call stack, Heap, Iteration, Recursion, Pass-by-value, Pass-by-reference, Inheritance, Casting, Shadowing, Overloading, Overriding, Abstract methods, Abstract classes, Polymorphism, Multiple inheritance, Interfaces, Constructors, Destructors, Finalizers, Garbage collection, Reference counting, Tracing, Java Collections, Iterator, Operator overloading, Error handling, Exceptions, Custom exceptions, Checked exceptions, Unchecked exceptions, Assertions, Lambda functions, Method references, Streams, Design patterns, Open-closed principle, Singleton pattern, Decorator pattern, State pattern, Composite pattern, Strategy pattern, Observer pattern, Functional programming, Primitive types, Static methods, Class definition"
University of Cambridge,cam.ac.uk,Computer Science,SciComp,Scientific Computing,"This course is a hands-on introduction to using computers to
  investigate scientific models and data.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/SciComp/,"Scientific Modeling, Data Analysis, Computational Science"
University of Cambridge,cam.ac.uk,Computer Science,Algorithm1,Algorithms 1,"The aim of this course is to provide an introduction to
  computer algorithms and data structures, with an emphasis on
  foundational material.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/Algorithm1/,"Algorithms, Data Structures"
University of Cambridge,cam.ac.uk,Computer Science,Algorithm2,Algorithms 2,"The aim of this course is to provide an introduction to
  computer algorithms and data structures, with an emphasis on
  foundational material.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/Algorithm2/,"Algorithms, Data Structures"
University of Cambridge,cam.ac.uk,Computer Science,MLRD,Machine Learning and Real-world Data,"This course introduces students to machine learning algorithms
  as used in real-world applications, and to the experimental
  methodology necessary to perform statistical analysis of
  large-scale data from unpredictable processes. Students will
  perform 3 extended practicals, as follows:
Statistical classification: Determining movie review
    sentiment using Naive Bayes;
Sequence Analysis: Hidden Markov Modelling and its
    application to a task from biology (predicting protein
    interactions with a cell membrane);
Analysis of social networks, including detection of cliques
    and central nodes.",,undergraduate,https://www.cl.cam.ac.uk/teaching/2425/MLRD/,"Machine Learning, Statistical Analysis, Naive Bayes, Hidden Markov Model, Social Network Analysis, Clique Detection, Central Node Detection, Protein Interaction Prediction"
