university,program,module,description,skills,url,level,duration,entry_requirements
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT1001 Introduction to Computer Science,"This module covers introduction to computer science, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core introduction to computer science concepts, theoretical framework application, analytical problem-solving, academic research skills, practical introduction to computer science implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT1002 Discrete Mathematics,"Introduces logic, set theory, combinatorics, graph theory, and proof techniques essential for computer science.","Formal proof writing, graph theory application, combinatorial counting, Boolean logic, mathematical induction",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT1003 Introduction to Programming,"This module covers introduction to programming, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core introduction to programming concepts, theoretical framework application, analytical problem-solving, academic research skills, practical introduction to programming implementation",https://uet.vnu.edu.vn/en/,Undergraduate,4 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,MAT1001 Calculus 1,"Covers differential and integral calculus, series, and multivariable calculus for engineering and science applications.","Differentiation, integration, limit evaluation, partial derivatives, optimisation techniques",https://uet.vnu.edu.vn/en/,Undergraduate,4 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,MAT1002 Linear Algebra,"Covers vector spaces, matrix operations, eigenvalues, and SVD foundational for machine learning and optimisation.","Matrix factorisation, eigenvalue computation, vector space analysis, linear transformation, gradient optimisation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT2201 Data Structures and Algorithms,"Covers fundamental data organisation techniques including arrays, linked lists, stacks, queues, trees, heaps, and hash tables. Students analyse time and space complexity and apply structures to solve real computational problems.","Array manipulation, linked list operations, binary tree traversal, hash table design, stack and queue implementation",https://uet.vnu.edu.vn/en/,Undergraduate,4 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT2202 Object-Oriented Programming,"This module covers object-oriented programming, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core object-oriented programming concepts, theoretical framework application, analytical problem-solving, academic research skills, practical object-oriented programming implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT2203 Computer Architecture,"This module covers computer architecture, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core computer architecture concepts, theoretical framework application, analytical problem-solving, academic research skills, practical computer architecture implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT2204 Database Systems,"Examines relational database design, SQL querying, normalisation theory, transaction management, and indexing strategies.","SQL query writing, ER diagram design, normalisation, transaction management, index optimisation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT2205 Operating Systems,"Analyses process scheduling, memory management, file systems, and I/O handling with practical implementation labs.","Process scheduling, memory allocation, file system design, deadlock detection, system call programming",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,MAT2001 Probability and Statistics,"Covers random variables, distributions, Bayes theorem, expectation, and limit theorems with engineering applications.","Probability modelling, Bayesian inference, Monte Carlo simulation, hypothesis testing, stochastic analysis",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3101 Computer Networks,"Studies OSI and TCP/IP network architectures, routing, switching, HTTP, DNS, and network security protocols.","TCP/IP configuration, routing protocol analysis, socket programming, network security evaluation, Wireshark analysis",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3102 Software Engineering,"Covers the full SDLC from requirements through design, implementation, testing, and maintenance, emphasising agile methods.","Requirements documentation, UML modelling, agile sprint planning, integration testing, Git version control",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3103 Machine Learning,"Covers supervised learning, unsupervised learning, model evaluation, regularisation, and neural network fundamentals for predictive modelling.","Supervised model training, cross-validation, feature engineering, clustering algorithms, neural network design",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3104 Artificial Intelligence,"Explores search algorithms, knowledge representation, planning, and reasoning under uncertainty.","Heuristic search, Bayesian reasoning, propositional logic, constraint satisfaction, decision tree construction",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3105 Compiler Design,"This module covers compiler design, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core compiler design concepts, theoretical framework application, analytical problem-solving, academic research skills, practical compiler design implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT3106 Information Security,"Studies access control, authentication, cryptography, network defence, and security policy for enterprise environments.","Access control design, public key cryptography, firewall configuration, security policy writing, risk assessment",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT4201 Distributed Systems,"This module covers distributed systems, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core distributed systems concepts, theoretical framework application, analytical problem-solving, academic research skills, practical distributed systems implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT4202 Deep Learning,"Covers CNNs, RNNs, attention mechanisms, and transformers applied to computer vision and NLP tasks using modern frameworks.","CNN design, RNN sequence modelling, transformer fine-tuning, PyTorch/TensorFlow, transfer learning",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT4203 Natural Language Processing,"Covers tokenisation, language models, sentiment analysis, NER, and transformer-based models such as BERT.","Text preprocessing, language model evaluation, sentiment classification, NER extraction, BERT fine-tuning",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT4204 Cloud Computing,"Examines IaaS/PaaS/SaaS models with AWS/Azure/GCP hands-on, containerisation, and serverless computing.","Cloud provisioning, Docker containerisation, Kubernetes orchestration, serverless functions, cost optimisation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Computer Science,INT4900 Graduation Thesis,"This module covers graduation thesis, part of the Computer Science programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core graduation thesis concepts, theoretical framework application, analytical problem-solving, academic research skills, practical graduation thesis implementation",https://uet.vnu.edu.vn/en/,Undergraduate,9 Credits / 1 Semester,Khoi A00/A01. DGNL >= 750. IELTS 5.5+ for English-medium.
Vietnam National University – University of Engineering and Technology (VNU-UET),Information Technology,INT1010 Programming Fundamentals,"This module covers programming fundamentals, part of the Information Technology programme at Vietnam National University – University of Engineering and Technology (VNU-UET). Students explore core theoretical and applied aspects, building competencies for professional practice.","Core programming fundamentals concepts, theoretical framework application, analytical problem-solving, academic research skills, practical programming fundamentals implementation",https://uet.vnu.edu.vn/en/,Undergraduate,3 Credits / 1 Semester,Khoi A00/A01. IELTS 5.5+.
