source,search_keyword,job_id,job_title,company,location,posted_date,url,seniority_level,employment_type,job_function,industries,skills,key_points,full_description,country
LinkedIn,software engineer,4314044699,Junior Software Engineer,Tripadvisor,"London, England, United Kingdom",2026-04-21,https://www.linkedin.com/jobs/view/4314044699,Mid-Senior level,Full-time,Engineering and Information Technology,"Software Development, Technology, Information and Internet, and Travel Arrangements","Java, TypeScript, React, SQL, AWS, Kubernetes, GraphQL, Agile","- The Tripadvisor Group connects people to experiences worth sharing, and aims to be the world s most trusted source for travel and experiences.
- sided marketplaces for experiences, accommodations, restaurants, and other travel categories.
- The Tripadvisor Experiences Engineering team is distributed across Europe and is responsible for tripadvisorexperiences.com, the Tripadvisor Experiences mobile apps and all their supporting infrastructure.
- We run the systems that help operators build their businesses and those which enable third parties to utilise our inventory.
- Tripadvisor Experiences is a remote first company.
- person moments to connect and collaborate.
- At Tripadvisor Experiences our Engineers are versatile and enjoy working on a variety of technical challenges.","The Tripadvisor Group connects people to experiences worth sharing, and aims to be the world s most trusted source for travel and experiences. We leverage our brands, technology, and capabilities to connect our global audience with partners through rich content, travel guidance, and two-sided marketplaces for experiences, accommodations, restaurants, and other travel categories. The subsidiaries of Tripadvisor, Inc. (Nasdaq: TRIP), include a portfolio of travel brands and businesses, including Tripadvisor, Viator, and TheFork. The Tripadvisor Experiences Engineering team is distributed across Europe and is responsible for tripadvisorexperiences.com, the Tripadvisor Experiences mobile apps and all their supporting infrastructure. We run the systems that help operators build their businesses and those which enable third parties to utilise our inventory. We provide the tools which help our customer services team provide world class service to travellers and operators internationally. About The Role We re looking for a Software Engineer I to join our fast-growing team. Tripadvisor Experiences is a remote first company. This role is open to candidates based in Oxford in the UK. We embrace flexibility in where and how work gets done and also value meaningful in-person moments to connect and collaborate. You can expect periodic in-person gatherings for team connection, planning, or other key moments. At Tripadvisor Experiences our Engineers are versatile and enjoy working on a variety of technical challenges. This is a full-stack position in which you will be working mostly on the backend with some front end projects from time to time. While you need to be hungry to learn, you don't need to be an expert at front end development right away - we can teach that part on the job and you won't be tested on it in interviews. Within Tripadvisor we have a fun and friendly environment where the key objective is getting things done. Working closely alongside product managers and designers, our engineers are part of the full process from software design, to code, to test, to deployment and back again. Most of our engineers release code to production every few days and we have a daily release cycle. What You'll Do Tripadvisor s web stack includes Java, React, TypeScript, GraphQL, Kubernetes, SQL and NoSQL databases, and runs on AWS. You don t need experience with everything listed, but you must be eager to learn. You should have experience with a statically typed, object-oriented language such as Java, C#, or C++, and hold a bachelor s or master s degree in Computer Science or a related field. What We Offer Competitive compensation packages (routinely benchmarked against the latest industry data), including base salary and annual bonuses  Work your way  with flexibility to suit your lifestyle. Tripadvisor Group takes a remote-friendly approach to collaboration across a worldwide team, with the option to join on-site as often as you d like or as required by your team",United Kingdom
LinkedIn,software engineer,4402951771,Graduate Software Engineer,Dexory,"Wallingford, England, United Kingdom",2026-04-16,https://www.linkedin.com/jobs/view/4402951771,Mid-Senior level,Full-time,Engineering,"Construction, Software Development, and IT Services and IT Consulting","Python, TypeScript, React, AWS, Docker, Kubernetes, Git, CI/CD, Linux, Machine Learning, TensorFlow, PyTorch","- Graduate Software Engineer Build Technology That Moves in the Real World Want to write code that doesn t just sit on a screen but powers real robots in real environments?
- At Dexory, our engineers build the systems behind autonomous robots that navigate warehouses, scan inventory, and generate insights at scale.
- Why this role is different From your first few weeks, you ll be shipping production code software that runs on robots, processes live data, and supports real operations.
- Where you could work You ll join one of our core teams, with rotations across others: Autonomy Build the systems that allow robots to safely navigate busy, real
- Platform Power everything behind the scenes with scalable infrastructure and developer tooling.
- Think: cloud systems, CI/CD, and production reliability at scale.
- What you ll be doing Ship production code early whether it s running on robots, powering pipelines, or supporting infrastructure Work on systems that interact with the physical world, not just simulations Progress from well","Graduate Software Engineer   Build Technology That Moves in the Real World Want to write code that doesn t just sit on a screen but powers real robots in real environments? At Dexory, our engineers build the systems behind autonomous robots that navigate warehouses, scan inventory, and generate insights at scale. From robotics and computer vision to machine learning and cloud infrastructure, the problems we solve are complex, fast-moving, and deeply technical. This is more than a graduate role. It s a launchpad. Why this role is different From your first few weeks, you ll be shipping production code software that runs on robots, processes live data, and supports real operations. Your first year is structured to accelerate your growth: Start in a core team aligned with your interests Rotate across teams every 2 3 months Build both depth and breadth across a modern engineering stack By the end of the year, you won t just understand the system you ll have helped build it. If you re excited by complex systems, real-world impact, and rapid growth, this is where your engineering career starts. Where you could work You ll join one of our core teams, with rotations across others: Autonomy Build the systems that allow robots to safely navigate busy, real-world warehouse environments. Think: motion planning, real-time systems, and safety-critical software. AI / Perception Turn raw sensor data into meaningful insights using computer vision and machine learning. Think: ML pipelines, point cloud data, and large-scale perception systems. Platform Power everything behind the scenes with scalable infrastructure and developer tooling. Think: cloud systems, CI/CD, and production reliability at scale. What you ll be doing Ship production code early whether it s running on robots, powering pipelines, or supporting infrastructure Work on systems that interact with the physical world, not just simulations Progress from well-defined tasks to owning features and leading small projects Design, build, test, and deploy software to production standards from day one Collaborate with engineers and cross-functional teams to deliver real-world solutions Contribute to technical discussions and grow into architectural thinking What we re looking for You don t need industry experience but you do need strong fundamentals and curiosity. You should have: A degree in Computer Science, Engineering, Robotics, AI/ML, Maths, Physics, or similar Strong foundations in Python Experience with Git and Linux Evidence of building real projects (coursework, personal projects, open source, etc.) Depending on your interests, it s great if you have: Autonomy: C++, robotics, or real-time systems AI / Perception: PyTorch, TensorFlow, or computer vision Platform: Docker, CI/CD, or cloud infrastructure We care more about depth than ticking every box. If you re strong in one area and motivated to learn, you ll thrive here. How you ll grow You ll be supported from day one with structured mentorship and cl",United Kingdom
LinkedIn,software engineer,4379662791,"Software Engineer, New Grad",Deliveroo,"London, England, United Kingdom",2026-04-17,https://www.linkedin.com/jobs/view/4379662791,Not Applicable,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Ruby, Scala, MySQL, PostgreSQL","- sided marketplace, building and scaling systems that serve millions of customers, riders and partners every day.
- time logistics to resilient infrastructure and marketplace optimisation, we design, build and operate technology that powers Deliveroo s growth at scale.
- In this role, you ll help us build the future of on
- As a New Grad, you will work on production systems that impact millions of users, supported by a world
- Own your features: Take ownership of specific pieces of work, assisting with design, technical implementation, and influencing your team's roadmap.
- functionally: Build relationships with other engineering teams to identify collaboration opportunities and solve complex marketplace problems.
- Grow through mentorship: Benefit from the support of senior colleagues while eventually supporting the growth of your peers through code reviews and knowledge sharing.","Join us in our mission to transform the way people shop and eat, where impact, innovation and growth drive everything we do. Our Engineering teams tackle complex technical challenges across a global, three-sided marketplace, building and scaling systems that serve millions of customers, riders and partners every day. From real-time logistics to resilient infrastructure and marketplace optimisation, we design, build and operate technology that powers Deliveroo s growth at scale. We re looking for a Software Engineer to join our London team. In this role, you ll help us build the future of on-demand delivery, contributing to the services that power our global marketplace. Get to know our Engineering team   what drives us, how we work, and what you can expect. What You ll Be Doing You ll be joining a high-impact engineering team at our London headquarters. As a New Grad, you will work on production systems that impact millions of users, supported by a world-class team of engineers. Here s What Your Day-to-day Might Look Like Ship high-quality code: Improve code structure and contribute to the architecture of services using languages like Go, Ruby, Python, or Scala. Own your features: Take ownership of specific pieces of work, assisting with design, technical implementation, and influencing your team's roadmap. Operational excellence: Aim to simplify the maintenance and health of production systems, ensuring operational readiness and visibility. Collaborate cross-functionally: Build relationships with other engineering teams to identify collaboration opportunities and solve complex marketplace problems. Grow through mentorship: Benefit from the support of senior colleagues while eventually supporting the growth of your peers through code reviews and knowledge sharing. What You ll Need to Thrive Our ideal candidate will bring strong expertise in some of these areas and curiosity to grow in others: Foundational Knowledge: A degree in Computer Science or a related technical field (graduated within the last year). Software Craftsmanship: Pride in writing readable, well-designed, and thoroughly tested software. Technical Curiosity: Experience writing web-based applications in any language and a strong interest in learning our stack (Go, Ruby/Rails, Python, Scala, or Rust). Data Fundamentals: Familiarity with relational databases (such as PostgreSQL or MySQL). Problem Solving: A proven ability to break down complex logistical or technical problems into manageable software solutions. Right to Work: Applicants must be authorised to work in the U.K. to be considered for this position. Why Join Us? At Deliveroo, you ll do work that matters solving real-world problems in a three-sided marketplace that s constantly evolving. We re food lovers, problem solvers, community builders and more, brought together by a shared drive to make things better. Working Here You Can Expect To   Solve meaningful problems at real scale Work on a complex, always-on marketplace that",United Kingdom
LinkedIn,software engineer,4408604287,Graduate software engineer,Meetup,"London, England, United Kingdom",2026-05-04,https://www.linkedin.com/jobs/view/4408604287,Entry level,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Docker, Kubernetes, REST","- building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real
- At Bending Spoons, we re striving to build one of the all
- A company that creates value for shareowners at an extraordinary rate.
- The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance.
- A few examples of your responsibilities Build stuff that matters.
- Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability.
- Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.","Meetup is a community-building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real-world connections. Now part of Bending Spoons, it plays a key role in a portfolio of outstanding digital businesses united by a shared focus on innovation and operational excellence. By applying through the Meetup brand, you ll be stepping into the wider Bending Spoons team. You may work directly on Meetup or contribute to one of our other leading products. Either way, you ll be part of a high-performing, collaborative environment where you can make a real impact. At Bending Spoons, we re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That s our promise to such a candidate. A few examples of your responsibilities Build stuff that matters. Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale. Amplify your impact with AI. Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability. Master your toolkit. Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust you ll apply technologies thoughtfully, focusing on depth and purpose rather than trends. Simplify relentlessly. Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You re ext",United Kingdom
LinkedIn,software engineer,4408607185,Graduate software engineer,Evernote,"London, England, United Kingdom",2026-05-04,https://www.linkedin.com/jobs/view/4408607185,Entry level,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Docker, Kubernetes, REST","- taking and organization platform that millions of users rely on for powerful note taking, project planning, personal knowledge management, and more.
- At Bending Spoons, we re striving to build one of the all
- A company that creates value for shareowners at an extraordinary rate.
- The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance.
- A few examples of your responsibilities Build stuff that matters.
- Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability.
- Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.","Evernote is a note-taking and organization platform that millions of users rely on for powerful note taking, project planning, personal knowledge management, and more. Now part of Bending Spoons, it plays a key role in a portfolio of outstanding digital businesses united by a shared focus on innovation and operational excellence. By applying through the Evernote brand, you ll be stepping into the wider Bending Spoons team. You may work directly on Evernote or contribute to one of our other leading products. Either way, you ll be part of a high-performing, collaborative environment where you can make a real impact. At Bending Spoons, we re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That s our promise to such a candidate. A few examples of your responsibilities Build stuff that matters. Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale. Amplify your impact with AI. Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability. Master your toolkit. Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust you ll apply technologies thoughtfully, focusing on depth and purpose rather than trends. Simplify relentlessly. Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You re extreme",United Kingdom
LinkedIn,software engineer,4408392582,Graduate software engineer,Meetup,United Kingdom,2026-05-04,https://www.linkedin.com/jobs/view/4408392582,Entry level,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Docker, Kubernetes, REST","- building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real
- At Bending Spoons, we re striving to build one of the all
- A company that creates value for shareowners at an extraordinary rate.
- The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance.
- A few examples of your responsibilities Build stuff that matters.
- Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability.
- Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.","Meetup is a community-building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real-world connections. Now part of Bending Spoons, it plays a key role in a portfolio of outstanding digital businesses united by a shared focus on innovation and operational excellence. By applying through the Meetup brand, you ll be stepping into the wider Bending Spoons team. You may work directly on Meetup or contribute to one of our other leading products. Either way, you ll be part of a high-performing, collaborative environment where you can make a real impact. At Bending Spoons, we re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That s our promise to such a candidate. A few examples of your responsibilities Build stuff that matters. Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale. Amplify your impact with AI. Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability. Master your toolkit. Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust you ll apply technologies thoughtfully, focusing on depth and purpose rather than trends. Simplify relentlessly. Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You re ext",United Kingdom
LinkedIn,software engineer,4408388895,Graduate software engineer,Meetup,"Cambridge, England, United Kingdom",2026-05-04,https://www.linkedin.com/jobs/view/4408388895,Entry level,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Docker, Kubernetes, REST","- building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real
- At Bending Spoons, we re striving to build one of the all
- A company that creates value for shareowners at an extraordinary rate.
- The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance.
- A few examples of your responsibilities Build stuff that matters.
- Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability.
- Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.","Meetup is a community-building platform that millions of people use to discover events, meet others who share their interests, and cultivate meaningful real-world connections. Now part of Bending Spoons, it plays a key role in a portfolio of outstanding digital businesses united by a shared focus on innovation and operational excellence. By applying through the Meetup brand, you ll be stepping into the wider Bending Spoons team. You may work directly on Meetup or contribute to one of our other leading products. Either way, you ll be part of a high-performing, collaborative environment where you can make a real impact. At Bending Spoons, we re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That s our promise to such a candidate. A few examples of your responsibilities Build stuff that matters. Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale. Amplify your impact with AI. Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability. Master your toolkit. Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust you ll apply technologies thoughtfully, focusing on depth and purpose rather than trends. Simplify relentlessly. Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You re ext",United Kingdom
LinkedIn,software engineer,4408613152,Graduate software engineer,Evernote,United Kingdom,2026-05-04,https://www.linkedin.com/jobs/view/4408613152,Entry level,Full-time,Engineering and Information Technology,Software Development,"Python, Go, Rust, Docker, Kubernetes, REST","- taking and organization platform that millions of users rely on for powerful note taking, project planning, personal knowledge management, and more.
- At Bending Spoons, we re striving to build one of the all
- A company that creates value for shareowners at an extraordinary rate.
- The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance.
- A few examples of your responsibilities Build stuff that matters.
- Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability.
- Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain.","Evernote is a note-taking and organization platform that millions of users rely on for powerful note taking, project planning, personal knowledge management, and more. Now part of Bending Spoons, it plays a key role in a portfolio of outstanding digital businesses united by a shared focus on innovation and operational excellence. By applying through the Evernote brand, you ll be stepping into the wider Bending Spoons team. You may work directly on Evernote or contribute to one of our other leading products. Either way, you ll be part of a high-performing, collaborative environment where you can make a real impact. At Bending Spoons, we re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. In pursuit of this objective, we acquire and improve digital businesses, not to sell on, but to own and operate for the long term. The transformations we make are often deep designed to speed up innovation, benefit customers, and strengthen business performance. Here, hierarchy is minimal and teams are small and talent-dense. We operate established products with the ambition, agility, and urgency of a startup. Across the company, we integrate AI deeply into how we work so that human judgment and machine intelligence reinforce each other. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That s our promise to such a candidate. A few examples of your responsibilities Build stuff that matters. Take real ownership from idea to production, creating systems used by millions and evolving them into products at scale. Amplify your impact with AI. Integrate the most powerful AI tools directly into your development workflow design, implementation, testing, and documentation to move faster while maintaining high standards for correctness, reliability, and maintainability. Master your toolkit. Work across diverse stacks with end-to-end ownership, choosing the right technologies for each challenge. From monoliths to microservices, gRPC to REST, Kubernetes to Docker, Python to Rust you ll apply technologies thoughtfully, focusing on depth and purpose rather than trends. Simplify relentlessly. Question every layer of complexity. Improve architectures, pipelines, and codebases to build systems that are simpler, more scalable, and easier to maintain. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You re extreme",United Kingdom
LinkedIn,software engineer,4406452592,Junior Software Developer,Linnworks,"West Sussex, England, United Kingdom",2026-04-30,https://www.linkedin.com/jobs/view/4406452592,Entry level,Full-time,Engineering,Software Development,,"- This role exists to develop capable, confident engineers by providing structured support, clear expectations, and exposure to real production work.
- Junior engineers contribute to the codebase while learning good engineering practices, working closely with more experienced engineers.
- Key Responsibilities Engineering contribution Implement well
- Done well, this role: Builds strong engineers over time Improves team capacity sustainably Creates a healthy progression pipeline Why us?
- being support Access therapy, mental health sessions, and yoga through a free premium subscription to Headspace.
- Companies wanting to sell their products via marketplaces like Amazon, eBay, Facebook, etc need a platform to automate and monitor retail, inventory and shipping processes and performance.
- Highly skilled, passionate, and collaborative with a winning and customer","Your Mission The Junior Software Engineer is an early-career role focused on learning, contribution, and steady growth. This role exists to develop capable, confident engineers by providing structured support, clear expectations, and exposure to real production work. Junior engineers contribute to the codebase while learning good engineering practices, working closely with more experienced engineers. Key Responsibilities Engineering contribution Implement well-scoped tasks under guidance Write code that meets team standards for quality and testing Fix bugs and make incremental improvements Learn to work effectively with existing systems and tools Learning and development Actively seek feedback and apply it Learn from code reviews, pairing, and design discussions Build understanding of the product and its users Develop good habits around testing, documentation, and version control Collaboration Work closely with teammates and QA to understand quality expectations Communicate progress and blockers clearly Participate in team meetings and retrospectives Ask questions early rather than struggling in isolation What This Role Is Not This is not an independent delivery role This is not an architecture or design authority role This is not a QA or testing ownership role Junior engineers succeed by learning effectively and contributing reliably. Experience And Capabilities What You'll Bring To The Role Some experience with software development (commercial, academic, or personal projects) Basic understanding of at least one relevant programming language or stack Willingness to learn and take feedback Clear communication and a collaborative mindset Why this role matters Junior engineers are the future capability of the organisation. Done well, this role: Builds strong engineers over time Improves team capacity sustainably Creates a healthy progression pipeline Why us? Perks & Benefits Remote & flexible working   with hybrid options in London or Chichester Fantastic team culture based on trust and belonging. Laptop & home office budget    500 to set up your ideal workspace. Private Medical Insurance with Aviva, including Dental & Optical. Group Life Insurance & Yulife Wellbeing & Rewards. Mental well-being support   Access therapy, mental health sessions, and yoga through a free premium subscription to Headspace. EAP confidential benefit   24/7 access to compassionate guidance & expert advice 25 days holiday + bank holidays Training, support, and personal development About Us As the global leader in the eCommerce automation sector, Linnworks has one mission: Giving our clients back their time to grow and lead their brands. Companies wanting to sell their products via marketplaces like Amazon, eBay, Facebook, etc need a platform to automate and monitor retail, inventory and shipping processes and performance. We have teams across North America and Europe, and we are backed by Marlin Equity Partners, a leading growth equity firm headquartered out of California.",United Kingdom
LinkedIn,software engineer,4403886124,Junior Software Engineer,InfoSum,"Basingstoke, England, United Kingdom",2026-04-19,https://www.linkedin.com/jobs/view/4403886124,Not Applicable,Full-time,Engineering,IT Services and IT Consulting,"Python, TypeScript, Go, React, Docker, Kubernetes, Terraform, Git, Linux, Spark, Kafka, REST","- InfoSum is the world's leading data collaboration platform, providing solutions to the world's largest enterprises to allow collaboration across data sources and deliver richer customer experiences that prioritize consumer privacy.
- If you want to work with a business that encourages collaboration, and champions the idea that the sum is greater than its parts, then we want to hear from you.
- Often these investigations will result in improving observability or stability of the platform High
- Because our team's workload is unpredictable, delivery dates are flexible and scoped by the team Platform observability & performance.
- Your team members continually raise the bar on monitoring, metrics and efficiency Joining as our newest engineer, you'll pair with seasoned Go / TypeScript / Python devs, owning real tasks from week one.
- Requirements Core Responsibilities Software debugging: Investigate production issues across Go micro
- Use logs, tracing and AI powered tools to investigate and patch quickly Feature development: Build and test code (mainly Go & TypeScript) for platform enhancements.","InfoSum is the world's leading data collaboration platform, providing solutions to the world's largest enterprises to allow collaboration across data sources and deliver richer customer experiences that prioritize consumer privacy. Our vision is to unlock data's limitless potential, by enabling the world's data to be connected but never shared. As a people-first organization, we can offer you the personal and professional flexibility needed to get the job done, grow with us, and help challenge the status quo. If you want to work with a business that encourages collaboration, and champions the idea that the sum is greater than its parts, then we want to hear from you. Job Overview You'll be joining Our Platform Sustaining & Enhancement team, the team that keeps the platform healthy while rapidly adding targeted, high-impact enhancements. Third-line investigations. Every morning the team reviews new issues that have already passed first and second line triage. You'll dig into logs, traces and code to explain behaviour, patch bugs or raise backlog stories when deeper product work is needed. Often these investigations will result in improving observability or stability of the platform High-impact feature work. Between investigations we deliver focused enhancements and platform improvements that don't slot neatly into long-term road-maps. Because our team's workload is unpredictable, delivery dates are flexible and scoped by the team Platform observability & performance. Your team members continually raise the bar on monitoring, metrics and efficiency Joining as our newest engineer, you'll pair with seasoned Go / TypeScript / Python devs, owning real tasks from week one. Expect a dynamic mix of bug hunting, green field coding and customer interaction all in a cloud native solution. Requirements Core Responsibilities Software debugging: Investigate production issues across Go micro-services, TypeScript React UIs and Python data pipelines. Use logs, tracing and AI powered tools to investigate and patch quickly Feature development: Build and test code (mainly Go & TypeScript) for platform enhancements. Write unit / integration tests, participate in peer reviews and pair-programming sessions Documentation & knowledge-sharing: Keep our Runbooks and ADRs up-to-date; share learnings via demos Additional Company Wide Requirements Understand and comply with InfoSum's security and privacy policies, and be attentive to information security at all times in the performance of duties for InfoSum Must-haves 1-3 years' professional software engineering experience Working knowledge of at least one of Go or Python and willingness to learn the other languages including typescript Solid grasp of Git, REST and basic cloud/Linux fundamentals Curiosity and the confidence to ask questions in a fast-moving team Nice-to-haves Exposure to Kubernetes, Docker or Terraform Experience with observability stacks (Grafana, Prometheus, OpenTelemetry) Familiarity with Postgres Interest ",United Kingdom
