job_id,source,url,job_title,parsed_title,company,location,posted_date,seniority,min_years_exp,employment_type,remote_status,salary_min_annual,salary_max_annual,salary_midpoint,hard_skills,soft_skills,education,job_category
4396160922,LinkedIn,https://www.linkedin.com/jobs/view/4396160922,Frontend Software Engineer,Frontend Software Engineer,Cabana,"Palo Alto, CA",2026-03-31,mid,2.0,full-time,onsite,135000.0,200000.0,167500.0,"JavaScript, TypeScript, frontend frameworks, web applications, frontend architecture, API integration, data visualization, operational dashboards, data-intensive systems, release management","ownership, critical thinking, product sense, problem-solving, collaboration, attention to detail, accountability, user-centricity",unknown,software-eng
4395453046,LinkedIn,https://www.linkedin.com/jobs/view/4395453046,Software Engineer,Software Engineer,Epsilon,"Westminster, CO",2026-04-07,junior,1.0,full-time,unknown,73500.0,136500.0,105000.0,"Java, Python, SQL, relational databases, Unix, Unix Shell Scripts, Hadoop, HBase, Spark, Spring, Hibernate, Maven, Angular, HTML, JavaScript, Docker, Kubernetes, AWS, Databricks, AI, big data, cloud platforms, predictive analytics, CI/CD, Agile, DevOps, unit testing","ownership, teamwork, collaboration, autonomy, growth mindset, continuous improvement",bachelor,software-eng
4364164472,LinkedIn,https://www.linkedin.com/jobs/view/4364164472,Software Engineer 5 - Ads Member Experience,Software Engineer 5 - Ads Member Experience,Netflix,"Los Gatos, CA",2026-03-29,senior,,full-time,unknown,,,,"ad formats, ad delivery systems, experimentation, ad creatives, native ads, CTV ad formats, large-scale infrastructure, real-time systems, low-latency systems, online advertising, ad tech, client-side ad insertion, server-side ad insertion, content delivery systems, ad encoding, metadata","collaboration, creativity, innovation",unknown,software-eng
4397376471,LinkedIn,https://www.linkedin.com/jobs/view/4397376471,Software Engineer,Software Engineer,Uber,"Seattle, WA",2026-04-03,mid,3.0,full-time,hybrid,198500.0,204000.0,201250.0,"C++, Python, Java, Go, Git, SVN, SQL, MySQL, data structures, algorithms, system design, debugging, monitoring, distributed systems, Software Development Lifecycle (SDLC), cloud platforms, database administration, autoscaling","problem-solving, analytical skills",master,software-eng
4328991042,LinkedIn,https://www.linkedin.com/jobs/view/4328991042,"Software Engineer, Backend","Software Engineer, Backend",Tinder,"Palo Alto, CA",2026-04-10,mid,2.0,full-time,unknown,,,,"Java, Node.js, Go, C++, Kubernetes, ECS, distributed systems, system design, data structures, algorithms","collaboration, teamwork, ownership, accountability, innovation, continuous learning, adaptability, communication, problem-solving, agility, mentorship",bachelor,software-eng
4392472542,LinkedIn,https://www.linkedin.com/jobs/view/4392472542,Software Development Engineer,Software Development Engineer,Adobe,"San Jose, CA",2026-03-31,junior,0.0,full-time,unknown,,,,"Python, Java, C++, JavaScript, C#, Ruby, PHP, React, Vue, Angular, jQuery, frontend frameworks, DevOps, SaaS, system design, testing, code review, debugging, API documentation","problem-solving, collaboration, communication, mentorship, autonomy, passion for quality, customer-focused",bachelor,software-eng
4384786676,LinkedIn,https://www.linkedin.com/jobs/view/4384786676,Software Engineer - Entry Level,Software Engineer - Entry Level,Boeing,"Annapolis Junction, MD",2026-04-08,junior,0.0,full-time,unknown,,,,"analytics, algorithm development, big data, real-time systems, RF signal processing, data visualization, software integration, testing, system design, COTS/GOTS integration, requirements analysis, systems engineering, cybersecurity","collaboration, innovation, problem-solving",unknown,software-eng
4324030480,LinkedIn,https://www.linkedin.com/jobs/view/4324030480,"Software Engineer, Full Stack","Software Engineer, Full Stack",Clay,Buffalo-Niagara Falls Area,2026-03-30,unknown,,full-time,unknown,,,,"full stack development, backend development, frontend development, product strategy, system design, performance optimization, AI","creativity, collaboration, mentorship, ownership, product sense, continuous improvement",unknown,software-eng
4395943234,LinkedIn,https://www.linkedin.com/jobs/view/4395943234,"Software Engineer, Frontend","Software Engineer, Frontend",Tessera Labs,"San Jose, CA",2026-04-08,mid,3.0,full-time,unknown,,,,"TypeScript, React, SSR (Server-Side Rendering), TanStack Start, Next.js, state management, data fetching, component libraries, design systems, accessibility (a11y), performance optimization, data visualization, dashboards, UI design, API integration, Agile, Artificial Intelligence","ownership, autonomy, problem-solving, collaboration, adaptability, critical thinking",unknown,software-eng
4396373128,LinkedIn,https://www.linkedin.com/jobs/view/4396373128,Software Engineer,Software Engineer,Chalk,"New York, United States",2026-04-13,mid,2.0,full-time,onsite,170000.0,280000.0,225000.0,"Python, Rust, systems engineering, query planning, query optimization, compilers, distributed systems, static analysis, dynamic analysis, machine learning, PaaS","autonomy, ownership, problem-solving, adaptability, critical thinking, communication",bachelor,software-eng
