source,job_id,job_title,company,location,posted_date,url,salary_min_raw,salary_max_raw,parsed_title,seniority,min_years_exp,employment_type,remote_status,salary_min_annual,salary_max_annual,hard_skills,soft_skills,education,job_category
LinkedIn,4396160922.0,Frontend Software Engineer,Cabana,"Palo Alto, CA",31-03-26,https://www.linkedin.com/jobs/view/4396160922,,,Frontend Software Engineer,mid,2.0,full-time,onsite,135000.0,200000.0,"JavaScript, TypeScript, frontend frameworks, web applications, frontend architecture, API integration, data visualization, operational dashboards, data-intensive systems, release management","ownership, critical thinking, product sense, problem-solving, collaboration, attention to detail, accountability, user-centricity",unknown,software-eng
LinkedIn,4395453046.0,Software Engineer,Epsilon,"Westminster, CO",07-04-26,https://www.linkedin.com/jobs/view/4395453046,,,Software Engineer,junior,1.0,full-time,unknown,73500.0,136500.0,"Java, Python, SQL, relational databases, Unix, Unix Shell Scripts, Hadoop, HBase, Spark, Spring, Hibernate, Maven, Angular, HTML, JavaScript, Docker, Kubernetes, AWS, Databricks, AI, big data, cloud platforms, predictive analytics, CI/CD, Agile, DevOps, unit testing","ownership, teamwork, collaboration, autonomy, growth mindset, continuous improvement",bachelor,software-eng
LinkedIn,4364164472.0,Software Engineer 5 - Ads Member Experience,Netflix,"Los Gatos, CA",29-03-26,https://www.linkedin.com/jobs/view/4364164472,,,Software Engineer 5 - Ads Member Experience,senior,,full-time,unknown,,,"ad formats, ad delivery systems, experimentation, ad creatives, native ads, CTV ad formats, large-scale infrastructure, real-time systems, low-latency systems, online advertising, ad tech, client-side ad insertion, server-side ad insertion, content delivery systems, ad encoding, metadata","collaboration, creativity, innovation",unknown,software-eng
LinkedIn,4397376471.0,Software Engineer,Uber,"Seattle, WA",03-04-26,https://www.linkedin.com/jobs/view/4397376471,,,Software Engineer,mid,3.0,full-time,hybrid,198500.0,204000.0,"C++, Python, Java, Go, Git, SVN, SQL, MySQL, data structures, algorithms, system design, debugging, monitoring, distributed systems, Software Development Lifecycle (SDLC), cloud platforms, database administration, autoscaling","problem-solving, analytical skills",master,software-eng
LinkedIn,4328991042.0,"Software Engineer, Backend",Tinder,"Palo Alto, CA",10-04-26,https://www.linkedin.com/jobs/view/4328991042,,,"Software Engineer, Backend",mid,2.0,full-time,unknown,,,"Java, Node.js, Go, C++, Kubernetes, ECS, distributed systems, system design, data structures, algorithms","collaboration, teamwork, ownership, accountability, innovation, continuous learning, adaptability, communication, problem-solving, agility, mentorship",bachelor,software-eng
LinkedIn,4392472542.0,Software Development Engineer,Adobe,"San Jose, CA",31-03-26,https://www.linkedin.com/jobs/view/4392472542,,,Software Development Engineer,junior,0.0,full-time,unknown,,,"Python, Java, C++, JavaScript, C#, Ruby, PHP, React, Vue, Angular, jQuery, frontend frameworks, DevOps, SaaS, system design, testing, code review, debugging, API documentation","problem-solving, collaboration, communication, mentorship, autonomy, passion for quality, customer-focused",bachelor,software-eng
LinkedIn,4384786676.0,Software Engineer - Entry Level,Boeing,"Annapolis Junction, MD",08-04-26,https://www.linkedin.com/jobs/view/4384786676,,,Software Engineer - Entry Level,junior,0.0,full-time,unknown,,,"analytics, algorithm development, big data, real-time systems, RF signal processing, data visualization, software integration, testing, system design, COTS/GOTS integration, requirements analysis, systems engineering, cybersecurity","collaboration, innovation, problem-solving",unknown,software-eng
LinkedIn,4324030480.0,"Software Engineer, Full Stack",Clay,Buffalo-Niagara Falls Area,30-03-26,https://www.linkedin.com/jobs/view/4324030480,,,"Software Engineer, Full Stack",unknown,,full-time,unknown,,,"full stack development, backend development, frontend development, product strategy, system design, performance optimization, AI","creativity, collaboration, mentorship, ownership, product sense, continuous improvement",unknown,software-eng
LinkedIn,4395943234.0,"Software Engineer, Frontend",Tessera Labs,"San Jose, CA",08-04-26,https://www.linkedin.com/jobs/view/4395943234,,,"Software Engineer, Frontend",mid,3.0,full-time,unknown,,,"TypeScript, React, SSR (Server-Side Rendering), TanStack Start, Next.js, state management, data fetching, component libraries, design systems, accessibility (a11y), performance optimization, data visualization, dashboards, UI design, API integration, Agile, Artificial Intelligence","ownership, autonomy, problem-solving, collaboration, adaptability, critical thinking",unknown,software-eng
LinkedIn,4396373128.0,Software Engineer,Chalk,"New York, United States",13-04-26,https://www.linkedin.com/jobs/view/4396373128,,,Software Engineer,mid,2.0,full-time,onsite,170000.0,280000.0,"Python, Rust, systems engineering, query planning, query optimization, compilers, distributed systems, static analysis, dynamic analysis, machine learning, PaaS","autonomy, ownership, problem-solving, adaptability, critical thinking, communication",bachelor,software-eng
LinkedIn,4392051128.0,"Software Engineer, Android",Tinder,"Los Angeles, CA",31-03-26,https://www.linkedin.com/jobs/view/4392051128,,,"Software Engineer, Android",unknown,,full-time,hybrid,,,"Android, system design, architecture design, framework development, library development","collaboration, creative thinking, ownership, accountability, innovation, attention to detail, risk-taking, communication, feedback, learning mindset, problem-solving, adaptability, resilience, inclusivity",unknown,software-eng
LinkedIn,4398720522.0,"Software Engineer (New Grad), New Products",EvenUp,"San Francisco, CA",11-04-26,https://www.linkedin.com/jobs/view/4398720522,,,"Software Engineer (New Grad), New Products",junior,1.0,full-time,hybrid,,,"Python, Typescript, React, Postgres, Kubernetes, Elasticsearch, machine learning, data engineering, back-end, front-end, DevOps, release management","drive, collaboration, impact-driven, teamwork, learning mindset, communication",unknown,software-eng
LinkedIn,4290778501.0,Frontend Software Engineer,Chalk,"San Francisco, CA",13-04-26,https://www.linkedin.com/jobs/view/4290778501,,,Frontend Software Engineer,mid,2.0,full-time,onsite,,,"TypeScript, React, Python, Go, Rust, frontend architecture, reusable components, full-stack development, web applications, command-line interfaces, data processing systems, compilers, query planners, distributed systems, backend systems","collaboration, autonomy, ownership, fast learner, pragmatism, communication, user experience focus",unknown,software-eng
LinkedIn,4392135860.0,Software Engineer - Full Stack,Grow Therapy,"New York, NY",31-03-26,https://www.linkedin.com/jobs/view/4392135860,,,Software Engineer - Full Stack,mid,3.0,full-time,unknown,,,"full-stack development, frontend, backend, system design, testing, deployment, A/B testing, production support, code review, architectural decisions","collaboration, product mindset, attention to detail, critical thinking, growth mindset, ownership",unknown,software-eng
LinkedIn,4383267287.0,Software Development Engineer,Adobe,"Austin, TX",02-04-26,https://www.linkedin.com/jobs/view/4383267287,,,Software Development Engineer,mid,3.0,full-time,unknown,,,"PHP, Python, Java, Go, Node.js, TypeScript, HTML, CSS, Jenkins, Docker, Kubernetes, AWS, Azure, GCP, backend development, APIs, automation, CI/CD, deployment automation, infrastructure as code, code review, testing, monitoring, LLM, RESTful API design, microservices architecture, secure coding practices, cloud services, containerization","collaboration, knowledge sharing, problem-solving, communication",bachelor,software-eng
LinkedIn,4393808597.0,Backend Software Engineer,Slang AI,"New York, NY",02-04-26,https://www.linkedin.com/jobs/view/4393808597,,,Backend Software Engineer,mid,,full-time,remote,,,"Kotlin, React, TypeScript, backend services, telephony infrastructure, conversational AI, domain-driven design, testing, code review, pair programming, cloud-native architectures, functional programming, real-time voice interactions","ownership, clarity, pragmatism, continuous learning, problem-solving, collaboration, mentoring",unknown,software-eng
LinkedIn,4393533791.0,Full Stack Software Engineer,Microsoft,"Mountain View, CA",31-03-26,https://www.linkedin.com/jobs/view/4393533791,,,Full Stack Software Engineer,unknown,,full-time,hybrid,,,"AI, C#, full-stack development, backend services, user interfaces, distributed systems, prompt engineering, server-side frameworks, client-side frameworks, monitoring","growth mindset, innovation, collaboration, respect, integrity, accountability, inclusivity",bachelor,software-eng
LinkedIn,4398778509.0,Software Engineer,Flip,"Brooklyn, NY",12-04-26,https://www.linkedin.com/jobs/view/4398778509,,,Software Engineer,mid,3.0,full-time,onsite,,,"Python, asyncio, FastAPI, Pipecat, API integration, LLM, dialogue management, conversational workflows, code review, troubleshooting, performance monitoring","attention to detail, initiative, autonomy, ownership, multitasking, customer-focused",bachelor,software-eng
LinkedIn,4397661794.0,Software Engineer,ThoughtSpot,"Mountain View, CA",10-04-26,https://www.linkedin.com/jobs/view/4397661794,,,Software Engineer,junior,0.0,full-time,unknown,,,"Java, Python, Javascript, C++, frontend, backend, code review, system architecture, debugging, Agile, Data Structures, Algorithms, Object-Oriented Design, distributed systems, scalability, database internals, AI, LLM, prompt engineering","analytical thinking, problem-solving, curiosity, collaboration, communication, adaptability, critical thinking",unknown,software-eng
LinkedIn,4286968047.0,Software Engineer - All Levels,GlossGenius,"San Francisco, CA",09-04-26,https://www.linkedin.com/jobs/view/4286968047,,,Software Engineer,unknown,,full-time,hybrid,,,"Kotlin, micronaut, jooq, Ruby, Rails, Sidekiq, gRPC, protobuf, Typescript, Javascript, React, Redux, React Native, AWS, Kubernetes, Postgres, Terraform, AI, web applications, microservices, front-end development, performance optimization, reliability, scalability, security",growth mindset,unknown,software-eng
LinkedIn,4399451605.0,"Software Engineer, Full Stack",Clay,"San Francisco, CA",08-04-26,https://www.linkedin.com/jobs/view/4399451605,,,"Software Engineer, Full Stack",unknown,,full-time,onsite,,,"full stack, backend, frontend, system design, performance optimization","product mindset, stakeholder management, ownership, collaboration, mentorship, learning",unknown,software-eng
LinkedIn,4098165303.0,"Software Engineer, Backend (All Levels)",Zip,"San Francisco, CA",04-04-26,https://www.linkedin.com/jobs/view/4098165303,,,"Software Engineer, Backend",unknown,5.0,full-time,onsite,,,"Python, JavaScript, React, GraphQL, web applications, API development, Kubernetes, Spinnaker, Jenkins, Kibana, Prometheus, Grafana, system design, API integration, Jira, ServiceNow, Slack","autonomy, problem-solving, communication, collaboration, mentorship",bachelor,software-eng
LinkedIn,4389251256.0,Software Engineer,Protolabs,"Maple Plain, MN",13-04-26,https://www.linkedin.com/jobs/view/4389251256,,,Software Engineer,mid,,full-time,hybrid,,,".NET Core, C#, web services, SQL Server, AI, Cursor, Claude, Co-pilot, unit testing, automated acceptance tests, system design, design reviews, code reviews, on call rotation, software engineering best practices","entrepreneurial spirit, collaboration, communication, problem-solving, mentorship",unknown,software-eng
LinkedIn,4292999956.0,Software Engineer & Computer Science - Recent Grad/Full Time,Honeywell,United States,31-03-26,https://www.linkedin.com/jobs/view/4292999956,,,Software Engineer & Computer Science - Recent Grad/Full Time,junior,0.0,full-time,onsite,68000.0,126500.0,"SDLC, software configuration management, change management","innovation, problem-solving, collaboration, communication, adaptability, critical thinking, decision-making",bachelor,software-eng
LinkedIn,4387120285.0,"Software Engineer (Node.js, Python, Go, Azure)",Lenovo,"Chicago, IL",08-04-26,https://www.linkedin.com/jobs/view/4387120285,,,"Software Engineer (Node.js, Python, Go, Azure)",unknown,,full-time,hybrid,,,"AI, full-stack development, system design, cloud infrastructure, DevOps, CI/CD, security scanning, Java, Node.js, Python, Go, RDBMS, NoSQL, Docker, container orchestration, Azure, testing","ownership, collaboration, stakeholder management",unknown,software-eng
LinkedIn,4379241687.0,Software Engineer,Paramount+,"Burbank, CA",11-04-26,https://www.linkedin.com/jobs/view/4379241687,,,Software Engineer,mid,3.0,full-time,onsite,,,"Java, Spring Boot, backend, microservices, relational databases, metrics, dashboards, observability, structured logs, traces, code reviews, system design, content management systems, media asset management","ownership, discipline, attention to detail, accountability, communication, collaboration, problem-solving",unknown,software-eng
LinkedIn,4399446854.0,"Software Engineer, Developer Experience (AI)",Clay,"San Francisco, CA",08-04-26,https://www.linkedin.com/jobs/view/4399446854,,,"Software Engineer, Developer Experience (AI)",unknown,,full-time,onsite,,,"AI, developer tooling, infrastructure, validation, testing, production systems, SDLC, monorepo, orchestration","creativity, iteration, collaboration",unknown,devops
LinkedIn,4321433610.0,"Software Engineer, Backend",Tessera Labs,"Seattle, WA",31-03-26,https://www.linkedin.com/jobs/view/4321433610,,,"Software Engineer, Backend",mid,3.0,full-time,onsite,,,"AI, distributed systems, REST APIs, Python, FastAPI, SQLAlchemy, microservices, data processing, data pipelines, third-party integrations, SAP, Salesforce, Workday, vector databases, PostgreSQL, MySQL, data modeling, Redis, Kafka, RabbitMQ, Pub/Sub, asynchronous processing, AWS S3, Google Cloud Storage, Azure Blob Storage, OAuth2, RBAC, SSO, testing, code reviews, backend architecture, DevOps, AWS, GCP, caching, monitoring, logging","ownership, collaboration, problem-solving, initiative, adaptability",unknown,software-eng
LinkedIn,4361390911.0,Software Engineer,Microsoft,"Redmond, WA",08-04-26,https://www.linkedin.com/jobs/view/4361390911,,,Software Engineer,unknown,,full-time,onsite,,,"generative AI, Product-Led Growth (PLG), React, TypeScript, C#, .NET, REST APIs, GraphQL, data modeling, Azure, event-driven architectures, C++, Windows, macOS","critical thinking, creativity, collaboration, growth mindset, learning, mentorship, respect, integrity, accountability",unknown,software-eng
LinkedIn,4400935893.0,Software Engineer,Tamarind Bio,"California, United States",11-04-26,https://www.linkedin.com/jobs/view/4400935893,,,Software Engineer,senior,,full-time,onsite,,,"computational biology, infrastructure, APIs, web interface, system architecture, deployment, HPC, frontend development, automated fine-tuning, AWS, DevOps, DynamoDB, EC2, S3, Docker, Kubernetes, MLOps, CUDA, Conda, Tensorflow, PyTorch, full stack, AI, ML, ML inference, Biopython, Colab, bash, slurm","collaboration, ownership, customer-centricity, adaptability, problem-solving",unknown,software-eng
LinkedIn,4398913344.0,(Junior   Senior) Software Engineer - Backend/Platform,Laminar (Formerly H2Ok Innovations),"Somerville, MA",07-04-26,https://www.linkedin.com/jobs/view/4398913344,,,Software Engineer - Backend/Platform,unknown,,unknown,onsite,,,"API development, data pipelines, Databricks, Infrastructure as Code (IaC), Terraform, cloud infrastructure, database performance optimization, relational databases, observability, monitoring, alerting, scalable systems","autonomy, ownership, empowerment, high standards, mission-driven, creativity, authenticity, growth mindset, ambition, initiative, problem-solving, learning agility",unknown,software-eng
LinkedIn,4385025315.0,Software Engineer - Full Stack (New York),Edra,"New York, NY",09-04-26,https://www.linkedin.com/jobs/view/4385025315,,,Software Engineer - Full Stack,mid,3.0,unknown,onsite,,,"Python, FastAPI, API design, data modeling, TypeScript, React, component design, frontend development, library development, internal tooling, third-party integrations, data pipelines, database schema design, deployment","craftsmanship, ownership, deep work, attention to detail, quality focus, balancing speed and quality, autonomy, project management, critical thinking, collaboration",unknown,software-eng
LinkedIn,4285896406.0,"Software Engineer, Trading Engineering",Two Sigma,"New York, United States",13-04-26,https://www.linkedin.com/jobs/view/4285896406,,,"Software Engineer, Trading Engineering",mid,1.0,unknown,hybrid,165000.0,250000.0,"C, C++, Rust, Python, systems programming, data structures, algorithms, quantitative modeling, large-scale systems, performance optimization, simulation, trading systems, code review, performance analysis","learning agility, initiative",bachelor,software-eng
LinkedIn,4396661381.0,"Software Engineer, Frontend",Profound,Buffalo-Niagara Falls Area,03-04-26,https://www.linkedin.com/jobs/view/4396661381,,,"Software Engineer, Frontend",senior,,unknown,onsite,140000.0,260000.0,"React, Next.js, TypeScript, state management, performance optimization, frontend architecture, Server-Side Rendering (SSR), Static Site Generation (SSG), Incremental Static Regeneration (ISR), Tailwind CSS, Sass, SCSS, React Query, CSS animations, CSS, caching, CDN, React Server Components, internationalization (i18n), localization (l10n), GSAP, Three.js, React Three Fiber, 3D graphics","collaboration, adaptability, design sensibility",unknown,software-eng
LinkedIn,4330361169.0,Software Development Engineer,Adobe,"San Jose, CA",10-04-26,https://www.linkedin.com/jobs/view/4330361169,,,Software Development Engineer,junior,1.0,unknown,onsite,,,"Java, Scala, Python, data pipelines, backend development, real-time processing, batch processing, code review, testing, release management, cloud development, AWS, Azure, distributed systems, cloud infrastructure, big data, Spark, Kafka, Flink, Apache Iceberg, Delta Lake, Kubernetes, Docker, databases, query engines, analytics platforms","problem-solving, curiosity, collaboration",bachelor,software-eng
LinkedIn,4382411726.0,#Software Engineer,Qualcomm,"Santa Clara, CA",01-04-26,https://www.linkedin.com/jobs/view/4382411726,,,Software Engineer,mid,3.0,unknown,onsite,,,"C, embedded systems, TCP/IP, networking protocols, device drivers, debugging, RTOS, computer architecture, wireless protocols, Wi-Fi, Bluetooth, UWB, Thread, software architecture, firmware, SoC, IP networking","motivation, innovation",bachelor,software-eng
LinkedIn,4398965812.0,"Software Engineer, AI Workflows",Notion,"San Francisco, CA",08-04-26,https://www.linkedin.com/jobs/view/4398965812,,,"Software Engineer, AI Workflows",mid,,unknown,hybrid,,,"AI, LLMs, embeddings, ML, prototyping, asynchronous programming, relational databases, PostgreSQL, MySQL, UI development, data modeling","problem-solving, holistic thinking, critical thinking, adaptability, empathy, communication, collaboration, open-mindedness, growth mindset, mentorship, user-centricity, impact-driven",unknown,software-eng
LinkedIn,4372637187.0,"Frontend Software Engineer, Codex App",OpenAI,"San Francisco, CA",02-04-26,https://www.linkedin.com/jobs/view/4372637187,,,"Frontend Software Engineer, Codex App",mid,,unknown,onsite,,,"React, TypeScript, UI development, prototyping, frontend architecture, component design, state management, performance optimization, testing, instrumentation, UX design, API integration, Electron, IDE extensions","craftsmanship, collaboration, adaptability, attention to detail, balancing speed and quality, problem-solving, systems thinking",unknown,software-eng
