skill,job_count,demand_pct,uni_count,supply_pct,normalized_demand,normalized_supply,gap_score
java,8.0,0.1476559616094499,0.0,0.0,10.0,0.0,10.0
javascript,8.0,0.1476559616094499,0.0,0.0,10.0,0.0,10.0
automation,7.0,0.1291989664082687,0.0,0.0,8.750000000000002,0.0,8.750000000000002
python,7.0,0.1291989664082687,0.0,0.0,8.750000000000002,0.0,8.750000000000002
agile,7.0,0.1291989664082687,0.0,0.0,8.750000000000002,0.0,8.750000000000002
root cause analysis,6.0,0.1107419712070874,0.0,0.0,7.499999999999998,0.0,7.499999999999998
reactjs,6.0,0.1107419712070874,0.0,0.0,7.499999999999998,0.0,7.499999999999998
responsive design,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
problem management,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
ci/cd,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
change management,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
html5,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
css3,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
itil,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
incident management,5.0,0.0922849760059062,0.0,0.0,6.25,0.0,6.25
redis,4.0,0.0738279808047249,0.0,0.0,4.9999999999999964,0.0,4.9999999999999964
observability,4.0,0.0738279808047249,0.0,0.0,4.9999999999999964,0.0,4.9999999999999964
sla management,4.0,0.0738279808047249,0.0,0.0,4.9999999999999964,0.0,4.9999999999999964
oop,4.0,0.0738279808047249,0.0,0.0,4.9999999999999964,0.0,4.9999999999999964
mysql,4.0,0.0738279808047249,0.0,0.0,4.9999999999999964,0.0,4.9999999999999964
algorithms,6.0,0.1107419712070874,2.0,28.57142857142857,7.499999999999998,3.333333333333333,4.166666666666665
data structures,6.0,0.1107419712070874,2.0,28.57142857142857,7.499999999999998,3.333333333333333,4.166666666666665
vulnerability management,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
linux,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
typescript,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
backend development,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
nosql,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
docker,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
unit testing,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
siem,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
c++,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
caching,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
sql,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
ios,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
software development,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
rca,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
es6+,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
git,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
jira,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
restful apis,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
knowledge management,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
databases,3.0,0.0553709856035437,0.0,0.0,3.749999999999999,0.0,3.749999999999999
cybersecurity,4.0,0.0738279808047249,1.0,14.285714285714285,4.9999999999999964,1.6666666666666665,3.33333333333333
software architecture,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
immutability,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
component-based architecture,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
network management,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
prometheus,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
project management,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
nodejs,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
network security,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
electrical engineering,2.0,0.0369139904023624,0.0,0.0,2.4999999999999947,0.0,2.4999999999999947
